driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
272,31,6,8.0,15,15,0,driver_standings.csv
273,31,7,4.0,17,17,0,driver_standings.csv
274,31,8,57.0,4,4,2,driver_standings.csv
275,31,9,64.0,3,3,1,driver_standings.csv
276,31,15,26.0,8,8,0,driver_standings.csv
277,31,17,20.0,10,10,0,driver_standings.csv
278,31,14,6.0,16,16,0,driver_standings.csv
279,31,18,3.0,18,18,0,driver_standings.csv
280,31,12,13.0,12,12,0,driver_standings.csv
281,31,21,0.0,19,19,0,driver_standings.csv
282,31,22,11.0,13,13,0,driver_standings.csv
283,31,19,0.0,22,22,0,driver_standings.csv
284,31,11,0.0,21,21,0,driver_standings.csv
285,31,13,77.0,2,2,5,driver_standings.csv
286,31,10,15.0,11,11,0,driver_standings.csv
287,31,16,0.0,20,20,0,driver_standings.csv
288,31,20,23.0,9,9,1,driver_standings.csv
289,32,1,84.0,1,1,4,driver_standings.csv
290,32,2,56.0,5,5,0,driver_standings.csv
291,32,3,17.0,12,12,0,driver_standings.csv
292,32,4,38.0,7,7,1,driver_standings.csv
293,32,5,51.0,6,6,1,driver_standings.csv
294,32,6,9.0,15,15,0,driver_standings.csv
295,32,7,4.0,17,17,0,driver_standings.csv
296,32,8,57.0,4,4,2,driver_standings.csv
297,32,9,64.0,3,3,1,driver_standings.csv
298,32,15,26.0,9,9,0,driver_standings.csv
299,32,17,20.0,11,11,0,driver_standings.csv
300,32,14,8.0,16,16,0,driver_standings.csv
301,32,18,3.0,18,18,0,driver_standings.csv
302,32,12,13.0,13,13,0,driver_standings.csv
303,32,21,0.0,19,19,0,driver_standings.csv
304,32,22,11.0,14,14,0,driver_standings.csv
305,32,19,0.0,22,22,0,driver_standings.csv
306,32,11,0.0,21,21,0,driver_standings.csv
307,32,13,77.0,2,2,5,driver_standings.csv
308,32,10,20.0,10,10,0,driver_standings.csv
309,32,16,0.0,20,20,0,driver_standings.csv
310,32,20,27.0,8,8,1,driver_standings.csv
311,33,1,84.0,1,1,4,driver_standings.csv
312,33,2,56.0,5,5,0,driver_standings.csv
313,33,3,17.0,13,13,0,driver_standings.csv
314,33,4,48.0,7,7,2,driver_standings.csv
315,33,5,51.0,6,6,1,driver_standings.csv
316,33,6,9.0,15,15,0,driver_standings.csv
317,33,7,4.0,17,17,0,driver_standings.csv
